peID,nOutcomes,pw.FEest,pw.ratio,pw.PIRepInside,pw.PIRepInside.sens,pw.Porig,pw.Porig.sens,pw.SigAgree,pw.PercSigAgree1,pw.PercSigAgree1.sens
p12e2,2,,,,,,,,,
p12e3,2,,,,,,,0,,
p15e1,1,0.00440012657110239,-23.315716156187,0,0,0.0279374520432836,0.0282096777362761,0,95.6140087862829,95.5589808887509
p15e2,1,0.862165824418227,7.18797160957768,1,1,0.0805597871680468,0.0908801241780271,0,75.8061948836843,74.4327918847554
p15e3,1,1.26251684261662,9.14750527793964,0,0,0.0131163511790187,0.0161300274007725,0,92.0349374929371,90.7636449140842
p16e1,2,,,,,,,,,
p16e2,1,,,,,,,,,
p16e3,3,4.12567517862417,2.21401788340536,0.666666666666667,0.666666666666667,0.101556372018722,0.102757616991297,100,95.4680799525113,95.3175899584476
p19e1,2,3.6955427085371,0.1787719330882,0,0,0.0169322203392982,0.0170205923228716,0,9.2953547658228,9.33818726153192
p19e2,2,0.820578644213532,3.1895245812637,0,0.5,0.0328395469665166,0.0545319405221287,50,97.2371558760723,90.1606565572117
p1e2,5,1.40277138952838,49.944390399282,0.2,0.2,0.00672061890186484,0.00676140099521772,60,99.054656427348,99.0271159923659
p1e3,6,1.86977490581834,3.61152138678582,1,1,0.156038854455168,0.159822321852242,66.6666666666667,85.0813756987816,84.7867431051132
p1e4,5,,,,,,,,,
p1e5,1,0.527381895475374,-12.2540040342334,0,0,0.0106251135720095,0.011075439311075,0,93.6474071324964,93.4309361312698
p1e6,1,9.19771663122367,2.14671002090152,1,1,0.1585254041856,0.158762147119772,100,96.2869848879276,96.2705143275855
p20e1,2,0.469577666567273,2.61439431911117,0,0.5,0.00576901693930714,0.00802445895464758,0,84.5484852400796,83.0221518800207
p20e2,3,0.866956171316359,2.00478995168054,0.333333333333333,0.333333333333333,0.0000768955658511638,0.000305957678769211,0,90.8869765468205,89.4393492905499
p21e1,2,1.43843795154439,1.91951521079902,1,1,0.175062990633567,0.184919827908917,100,86.0928011626087,85.0459809471574
p24e1,4,1.38114326648111,5.12686351591137,0.5,0.5,0.0213552773035133,0.0226023782377763,25,93.4502457012107,93.217042681226
p24e2,6,-0.966248699405616,-2.09461559789588,0,0,0.0000439220182514849,0.0000498733051519185,0,93.1271152809848,92.8856903020291
p24e3,7,3.79271233334566,3.13928449814577,0.714285714285714,0.714285714285714,0.0624877558703229,0.0631614803987092,71.4285714285714,84.1882880500842,84.0779029013002
p24e4,9,1.96533361925367,4.41932538720223,0.777777777777778,0.777777777777778,0.0334872041046914,0.0346418334797836,55.5555555555556,90.1757614581168,90.0295057272214
p28e1,2,,,,,,,,,
p28e2,3,,,,,0.111834810169305,0.121855953572769,0,,
p28e3,2,0.230916442927699,54.9667090954776,1,1,0.11886587334619,0.125721446095114,0,74.3972324148065,73.9433570132558
p29e1,1,,,,,,,,,
p29e2,2,13.9938809022424,1.87728614310123,1,1,0.305669439286615,0.305758483434976,100,88.3374323861479,88.3254444287385
p29e3,2,,,,,0.068564918075305,0.214688718063631,0,,
p37e1,1,1.01185909152469,5.62578270891649,0,0,0.0100045393743924,0.0118780047295586,0,98.7945464841114,98.4377606364777
p37e2,1,,,,,,,0,,
p37e3,1,,,,,,,0,,
p39e1,2,,,,,0.00324000759319754,0.00368135234514289,,,
p42e1,1,,,,,,,,,
p42e2,4,0.969843964924564,9.25102263714236,0.5,0.5,0.00919127905401269,0.00994220681533008,0,87.0293139619634,86.2344341613853
p44e1,4,0.0954506123806104,-12.3288444615077,0.25,1,0.011254752800331,0.138749100998863,0,85.4584191178153,68.9267174497127
p47e1,12,,,,,0.0389274372996099,0.0460206892941917,,,
p47e2,1,,,,,,,,,
p48e1,1,2.03057832360879,2.68220691178909,1,1,0.14576227405002,0.148399440348612,0,93.2287648432634,92.9735441882429
p48e2,3,0.20453024784322,1.75095309251359,0.333333333333333,1,0.000310952973100874,0.574052960231958,66.6666666666667,99.9971998820852,76.924729189119
p50e1,1,0.480218659247426,1.17710802446721,1,1,0.70078368181908,0.791286003808257,100,81.7865492160612,69.3521181534178
p5e1,2,2.60688256305148,33.5698881190345,0,0,0.0250689982479243,0.0250713412508501,100,98.7502834018172,98.7500495525731
p6e1,1,5.93956387898188,1.12058303361821,1,1,0.852938427956646,0.853163172493071,100,73.1219032832452,73.0591334381859
p7e1,3,,,,,,,,,
p8e1,4,,,,,,,,,
p8e2,2,,,,,,,,,
p9e1,5,,,,,,,,,
p9e2,5,1.00822253721818,2.30332522333157,1,1,0.0992553009212982,0.119223399916745,20,96.7450319130379,95.3621488883805
p9e3,2,0.662457846055,-2.66316450613309,1,1,0.388638581143061,0.398540785342321,0,38.2586905089916,38.6543541013589
